Country Code,Date,City,Latitude,Longitude,Max Temp,Humidity,Cloud,Wind Speed
NZ,1554322207,Mataura,-46.19,168.86,46.99,94,64,14.67
MX,1554322226,Cabo San Lucas,22.89,-109.91,89.01,30,5,8.05
RU,1554322922,Pevek,69.7,170.27,17.01,65,0,1.7
IS,1554322422,Vestmannaeyjar,63.44,-20.27,41.22,86,92,25.19
CL,1554322348,Punta Arenas,-53.16,-70.91,46.4,52,40,31.09
AR,1554322853,Mar del Plata,-46.43,-67.52,66.15,39,24,16.8
CK,1554319800,Avarua,-21.21,-159.78,80.6,69,92,5.82
CA,1554321600,Clyde River,70.47,-68.59,8.6,78,75,8.05
AR,1554318000,Ushuaia,-54.81,-68.31,44.6,70,75,27.51
CL,1554318000,Castro,-42.48,-73.76,51.8,93,90,14.99
CA,1554322595,Thunder Bay,48.41,-89.26,35.01,44,75,16.11
RU,1554322862,Komsomolskiy,67.55,63.78,24.48,89,92,3.27
AU,1554322858,Horsham,-36.71,142.2,58.5,76,92,8.52
PF,1554322847,Rikitea,-23.12,-134.97,74.7,100,12,20.49
US,1554322705,Kapaa,22.08,-159.32,75.99,60,75,10.29
RU,1554322422,Tiksi,71.64,128.87,23.67,77,80,6.85
CA,1554318000,Sioux Lookout,50.1,-91.92,24.8,49,75,16.11
AU,1554322695,New Norfolk,-42.78,147.06,42.01,80,40,10.29
ID,1554322958,Waingapu,-9.65,120.26,68.22,99,0,2.82
GF,1554319800,Cayenne,4.94,-52.33,82.4,69,75,12.75
RU,1554322958,Severo-Kurilsk,50.68,156.12,33.03,97,88,6.85
MG,1554322959,Beloha,-25.17,45.06,73.53,84,0,8.52
US,1554322756,Kodiak,39.95,-94.76,68.0,14,90,14.99
MU,1554322143,Mahebourg,-20.41,57.7,78.8,88,75,7.07
IN,1554322960,Chhapar,27.82,74.44,71.01,42,8,2.59
MU,1554322743,Bambous Virieux,-20.34,57.76,78.8,88,75,3.36
US,1554317760,Bethel,60.79,-161.76,35.6,80,40,12.75
CD,1554322961,Ouango,4.31,22.55,72.54,94,0,2.93
PT,1554321600,Ribeira Grande,38.52,-28.7,59.0,58,75,5.82
PT,1554321600,Camacha,33.08,-16.33,60.8,67,20,14.99
BD,1554322961,Teknaf,20.86,92.31,70.11,95,12,2.71
JP,1554321600,Katsuura,33.93,134.5,39.2,69,20,6.93
RU,1554322962,Baykit,61.68,96.39,20.7,76,68,12.21
AR,1554322962,Barrow,-38.31,-60.23,72.45,36,0,12.77
RU,1554322962,Kungurtug,50.6,97.53,21.24,95,12,2.71
AU,1554322807,Busselton,-33.64,115.35,64.99,51,56,18.59
GY,1554318000,Georgetown,6.8,-58.16,86.0,70,20,16.11
GL,1554322828,Upernavik,72.79,-56.15,25.38,88,80,42.97
US,1554322653,Hilo,19.71,-155.08,80.01,69,40,12.21
US,1554322794,Okmulgee,35.62,-95.96,73.4,30,1,20.8
CA,1554321600,Carberry,49.87,-99.36,33.8,43,20,2.24
AO,1554322964,Namibe,-15.19,12.15,79.47,100,36,8.86
RU,1554322965,Ola,59.58,151.3,31.23,83,20,16.69
PH,1554322950,Ternate,14.29,120.72,80.6,57,20,4.7
IR,1554318000,Tabas,33.6,56.92,75.2,24,0,6.93
US,1554322570,Sitka,37.17,-99.65,64.99,48,80,14.0
EC,1554322513,Puerto Ayora,-0.74,-90.35,87.8,66,40,14.99
AU,1554322966,Bluff,-23.58,149.07,65.88,81,0,11.43
NO,1554322605,Stokmarknes,68.56,14.91,34.0,100,90,3.36
AU,1554322635,Hobart,-42.88,147.33,42.01,80,40,10.29
ZA,1554322713,Carnarvon,-30.97,22.13,60.12,29,0,9.19
BM,1554321634,Hamilton,32.3,-64.78,68.0,77,90,13.87
MV,1554322736,Hithadhoo,-0.6,73.08,79.74,100,36,4.38
CA,1554318000,Tuktoyaktuk,69.44,-133.03,-2.21,77,75,18.34
AU,1554322968,Jamestown,-33.21,138.6,57.87,67,68,5.5
RU,1554322726,Khatanga,71.98,102.47,16.38,91,92,10.65
AU,1554322564,Launceston,-41.43,147.14,41.0,98,8,12.75
LY,1554322969,Awjilah,29.14,21.3,61.56,43,0,7.18
AU,1554319800,Kununurra,-15.77,128.74,75.2,57,8,4.7
LK,1554322910,Hambantota,6.12,81.12,80.19,100,0,3.6
RU,1554322823,Talaya,55.79,84.89,28.4,63,0,2.24
CL,1554318000,Coihaique,-45.58,-72.07,57.2,54,75,11.41
PK,1554322970,Kargil,34.56,76.13,3.42,84,24,1.14
CA,1554322323,Iqaluit,63.75,-68.52,8.6,71,75,4.7
GL,1554322804,Qaanaaq,77.48,-69.36,11.97,88,64,5.95
PT,1554322943,Vila Franca do Campo,37.72,-25.43,57.2,71,20,10.29
IN,1554322728,Vaini,15.34,74.49,68.31,91,0,1.25
RU,1554322938,Lavrentiya,65.58,-170.99,21.42,95,20,16.58
CA,1554320160,Geraldton,49.72,-86.95,23.0,41,90,13.87
RU,1554322496,Nikolskoye,59.7,30.79,39.2,32,0,6.71
PE,1554318000,Pisco,-13.71,-76.2,71.6,30,0,16.11
CA,1554322705,Port-Cartier,50.03,-66.88,32.0,100,90,16.11
EC,1554322530,San Cristobal,-0.39,-78.55,62.6,82,90,12.75
US,1554322745,Albany,42.65,-73.75,55.4,32,20,28.86
CD,1554322973,Butembo,0.12,29.29,60.3,88,8,1.14
BR,1554322974,Santa Isabel do Rio Negro,-0.41,-65.02,80.46,91,68,4.61
JP,1554321875,Hasaki,35.73,140.83,30.2,86,75,1.12
AU,1554319800,Yeppoon,-23.13,150.74,68.0,77,20,6.93
RU,1554322376,Zyryanka,65.73,150.89,11.88,68,0,5.17
PF,1554322711,Atuona,-9.8,-139.03,81.63,100,48,15.35
BR,1554322975,Campo Formoso,-10.51,-40.32,79.29,67,48,4.94
CA,1554321240,Moose Factory,51.26,-80.61,23.0,73,90,18.34
NO,1554322806,Roald,62.58,6.12,41.0,86,0,2.24
GL,1554321000,Tasiilaq,65.61,-37.64,30.2,92,0,19.46
CA,1554322928,Yellowknife,62.45,-114.38,7.0,59,20,12.75
CA,1554322901,Saint-Philippe,45.36,-73.48,46.99,45,20,29.97
RO,1554321600,Pardina,45.31,28.96,37.4,59,0,2.24
PW,1554321000,Kloulklubed,7.04,134.26,77.0,88,90,8.05
BR,1554318000,Cabedelo,-6.97,-34.84,86.0,70,20,9.17
TZ,1554322979,Nguruka,-5.11,31.04,68.4,94,36,2.04
FO,1554321000,Klaksvik,62.23,-6.59,35.6,80,92,2.24
ID,1554322908,Meulaboh,4.14,96.13,78.93,100,24,4.16
NA,1554322980,Luderitz,-26.65,15.16,58.77,87,0,11.43
ES,1554322976,Cocentaina,38.74,-0.44,63.0,72,0,2.24
NZ,1554322981,Wanaka,-44.7,169.14,36.9,90,56,2.15
RU,1554322981,Bilibino,68.06,166.44,18.0,82,12,2.15
ZA,1554322930,Cape Town,-33.93,18.42,64.99,88,0,3.36
ML,1554322982,Araouane,18.9,-3.53,82.8,22,0,7.4
PT,1554322982,Saldanha,41.42,-6.55,41.49,56,0,8.63
AO,1554322765,Soyo,-6.13,12.37,82.26,87,24,5.84
ZA,1554322907,Port Alfred,-33.59,26.89,64.99,94,12,1.99
IN,1554322983,Manali,32.25,77.19,3.24,87,12,1.36
CA,1554322860,Antigonish,45.62,-61.99,41.0,100,90,31.09
ZA,1554322574,Hermanus,-34.42,19.24,61.0,72,80,2.93
RU,1554322984,Solnechnyy,50.72,136.64,15.03,85,0,5.5
RU,1554322880,Evensk,61.92,159.24,31.86,82,24,17.58
BB,1554318000,Bathsheba,13.22,-59.52,86.0,58,40,23.04
PE,1554318000,Iquitos,-3.75,-73.25,42.8,319,75,5.82
BR,1554322776,Sao Felix do Xingu,-6.64,-51.99,83.52,81,12,1.92
CN,1554322985,Alihe,50.57,123.73,14.67,71,76,2.82
NZ,1554322985,Christchurch,-43.53,172.64,55.0,93,64,6.62
ET,1554321600,Lebu,8.96,38.73,60.8,63,75,2.24
CD,1554322917,Tshikapa,-6.42,20.79,75.06,91,24,2.26
RU,1554322904,Ostrovnoy,68.05,39.51,27.63,87,24,13.56
CA,1554318000,Thompson,55.74,-97.86,15.8,47,40,10.29
UY,1554322855,Chuy,-33.69,-53.46,68.4,84,0,9.64
CA,1554318000,Flin Flon,54.77,-101.88,21.2,37,20,5.82
AR,1554322561,Rafaela,-31.25,-61.49,91.0,38,8,1.99
IN,1554322988,Port Blair,11.67,92.75,83.88,100,0,1.92
PH,1554321690,Marawi,8.0,124.29,73.0,90,64,8.01
EE,1554322412,Vao,59.1,26.19,35.37,77,0,9.19
RU,1554322742,Dikson,73.51,80.55,23.58,100,76,16.02
ZA,1554321600,Bredasdorp,-34.53,20.04,59.0,93,44,5.82
CN,1554322989,Dingtao,35.07,115.56,45.27,73,32,7.4
RU,1554322895,Provideniya,64.42,-173.23,23.13,100,24,22.62
MG,1554322895,Ambilobe,-13.19,49.05,72.0,95,20,3.27
PK,1554322990,Gwadar,25.12,62.33,80.55,57,8,9.53
MX,1554322931,Guerrero Negro,27.97,-114.04,70.2,53,0,11.65
